ID,Age,Canterburygroup,Group,Group2,Gender,Timestamp,Time_norm,phoneme,F1,F2,F1norm,F2norm
P01,34,26-35,>30,28-50,M,341.7768583,0.2676635092,KIT,449.4267555,1537.142636,-0.4923209769,0.01159388794
P01,34,26-35,>30,28-50,M,372.1462704,0.2914473998,DRESS,370.376227,2029.093538,-1.174266325,1.015882628
P01,34,,>30,28-50,M,375.9029229,0.2943894329,NURSE,427.4024458,1500,-0.6823181329,-0.06423061136
P01,34,,>30,28-50,M,376.3954761,0.2947751773,NURSE,463.0803233,1564.197783,-0.3745357172,0.06682537481
P01,34,,>30,28-50,M,408.5348572,0.3199452241,LOT,576.7238733,949.6501752,0.6058333176,-1.187737306
P01,34,,>30,28-50,M,410.4104103,0.3214140688,START,746.8418666,1217.338736,2.073390543,-0.6412669041
P01,34,26-35,>30,28-50,M,421.7646197,0.3303061498,DRESS,405.8225192,2192.661682,-0.8684817274,1.349797342
P01,34,26-35,>30,28-50,M,428.3780046,0.3354854409,TRAP,558.9394838,1864.43922,0.4524126902,0.6797505536
P01,34,26-35,>30,28-50,M,429.7892343,0.3365906494,DRESS,398.2167702,2151.970367,-0.9340942569,1.266728425
P01,34,,>30,28-50,M,432.5073125,0.33871932,START,606.2889521,1296.353495,0.8608824408,-0.4799629363
P01,34,26-35,>30,28-50,M,464.2662071,0.3635913877,DRESS,394.1172736,2232.330661,-0.9694593928,1.430779223
P01,34,26-35,>30,28-50,M,469.0517125,0.3673391698,TRAP,574.7723601,1976.937014,0.5889981953,0.9094081619
P01,34,26-35,>30,28-50,M,478.8942373,0.3750473708,KIT,464.3567124,1657.230093,-0.3635246889,0.2567453465
P01,34,,>30,28-50,M,484.3676593,0.3793338967,LOT,605.7955553,932.7147163,0.856626054,-1.222310046
P01,34,,>30,28-50,M,484.9282626,0.3797729347,NURSE,474.1244934,1585.87064,-0.2792609535,0.1110692328
P01,34,26-35,>30,28-50,M,485.5789136,0.3802824939,KIT,532.5079083,1595.879187,0.2243953658,0.1315010923
P01,34,,>30,28-50,M,486.4149579,0.3809372443,LOT,578.6258297,915.9186012,0.6222409284,-1.256598324
P01,34,26-35,>30,28-50,M,487.2137366,0.3815628101,KIT,575.529039,1710.74393,0.5955258382,0.3659906866
P01,34,,>30,28-50,M,489.0666062,0.3830138902,LOT,571.4763187,930.7182278,0.5605642285,-1.22638576
P01,34,,>30,28-50,M,491.2037038,0.3846875642,NURSE,433.9669568,1531.376366,-0.6256880525,-0.0001776120333
P01,34,,>30,28-50,M,491.9450883,0.3852681815,GOOSE,440.7232783,1602.488729,-0.5674032804,0.144994081
P01,34,,>30,28-50,M,495.6741968,0.3881886433,STRUT,716.9255558,1426.949587,1.815311446,-0.2133587192
P01,34,,>30,28-50,M,496.2736859,0.3886581349,STRUT,670.4024767,1473.019176,1.413970709,-0.1193103717
P01,34,,>30,28-50,M,499.5977341,0.3912613727,STRUT,700.1986301,1460.613494,1.671013244,-0.1446358392
P01,34,26-35,>30,28-50,M,504.7649306,0.3953080772,KIT,480.1535284,1727.230313,-0.2272502653,0.3996466647
P01,34,,>30,28-50,M,505.1003205,0.3955707387,STRUT,666.7654566,1350,1.38259522,-0.3704467608
P01,34,,>30,28-50,M,519.7552082,0.4070477552,NURSE,476.5526312,1550,-0.2583141324,0.03784143846
P01,34,,>30,28-50,M,524.3009172,0.41060774,NURSE,473.9720858,1600,-0.2805757286,0.1399134883
P01,34,26-35,>30,28-50,M,525.0883939,0.4112244546,KIT,513.7075959,1710.485019,0.06221067426,0.3654621357
P01,34,26-35,>30,28-50,M,540.2185307,0.4230736639,DRESS,407.6986404,2154.655581,-0.8522969895,1.272210131
P01,34,26-35,>30,28-50,M,550.0150021,0.4307457981,DRESS,418.3867963,2040.326987,-0.7600934539,1.038815051
P01,34,26-35,>30,28-50,M,552.8731068,0.4329841309,DRESS,428.809937,2090.260486,-0.6701761253,1.140751343
P01,34,,>30,28-50,M,570.8680726,0.4470769389,LOT,559.1123423,885.8808451,0.453903889,-1.317918631
P01,34,,>30,28-50,M,572.4170227,0.4482900036,FLEECE,403.4463936,2203.394972,-0.8889798553,1.37170872
P01,34,,>30,28-50,M,586.3692831,0.4592167557,NURSE,461.2463845,1559.302522,-0.3903565607,0.05683198817
P01,34,,>30,28-50,M,588.4691152,0.460861245,FOOT,516.9049202,1265.474761,0.0897930381,-0.5430000486
P01,34,,>30,28-50,M,595.8898179,0.4666727892,FOOT,475.4219244,1182.324836,-0.2680684024,-0.7127457156
P01,34,,>30,28-50,M,596.4082949,0.467078836,FLEECE,466.7765962,1908.811681,-0.3426490728,0.7703343145
P01,34,,>30,28-50,M,598.9072028,0.4690358627,LOT,626.3877231,1114.986243,1.034268548,-0.8502134782
P01,34,,>30,28-50,M,618.0157184,0.4840007506,START,717.0830808,1322.993397,1.816670367,-0.4255791477
P01,34,,>30,28-50,M,627.3650042,0.4913226701,NURSE,460.6952897,1716.757983,-0.3951106913,0.3782680223
P01,34,,>30,28-50,M,629.6268603,0.4930940491,NURSE,415.1017556,1483.484315,-0.788432521,-0.09794640712
P01,34,,>30,28-50,M,630.576818,0.4938380111,NURSE,450.1596216,1650.723984,-0.4859987598,0.2434635088
P01,34,26-35,>30,28-50,M,633.3377083,0.4960002101,KIT,471.1993637,1708.533507,-0.3044951757,0.3614782386
P01,34,26-35,>30,28-50,M,634.6706819,0.4970441322,TRAP,541.3273758,1792.48307,0.3004782835,0.5328563178
P01,34,26-35,>30,28-50,M,642.0454238,0.502819682,KIT,546.7248279,1766.242362,0.3470404938,0.479287461
P01,34,,>30,28-50,M,646.6656751,0.5064380449,FLEECE,346.320952,2458.952957,-1.381784013,1.893415268
P01,34,26-35,>30,28-50,M,651.3522561,0.5101083539,TRAP,548.9234482,1963.980821,0.3660073358,0.8829588583
P01,34,,>30,28-50,M,651.8036354,0.510461853,LOT,510.9013926,950,0.03800239449,-1.187023159
P01,34,26-35,>30,28-50,M,668.9354121,0.5238786521,KIT,480.9420078,1534.133557,-0.2204482889,0.005451030432
P01,34,,>30,28-50,M,670.8559037,0.5253826905,NURSE,511.4178276,1660.910602,0.04245752579,0.2642588893
P01,34,,>30,28-50,M,682.4220878,0.5344407801,STRUT,856.096894,1558.642755,3.015901101,0.05548511334
P01,34,,>30,28-50,M,693.0787999,0.5427866143,LOT,561.9073984,912.5180204,0.4780160051,-1.263540409
P01,34,26-35,>30,28-50,M,694.9025783,0.5442149114,TRAP,599.8762739,2064.585568,0.8055621771,1.088337514
P01,34,,>30,28-50,M,699.7412295,0.5480043148,STRUT,596.1501184,1443.329709,0.7734177442,-0.1799196664
P01,34,,>30,28-50,M,704.1476636,0.5514552261,LOT,649.8464228,941.7095254,1.236639758,-1.203947674
P01,34,26-35,>30,28-50,M,704.4074197,0.5516586548,TRAP,583.6054159,1835.988403,0.6651983347,0.6216698892
P01,34,,>30,28-50,M,706.1502904,0.5530235889,NURSE,411.7285987,1786.760015,-0.8175317397,0.5211730386
P01,34,,>30,28-50,M,712.1675859,0.5577360508,NURSE,406.9731766,1652.577923,-0.8585553495,0.2472482158
P01,34,,>30,28-50,M,721.0187805,0.5646678888,NURSE,420.9001175,1500,-0.7384117809,-0.06423061136
P01,34,26-35,>30,28-50,M,721.6575249,0.5651681233,TRAP,542.6273247,1800,0.3116925557,0.5482016875
P01,34,26-35,>30,28-50,M,725.9541458,0.568533034,DRESS,388.1250136,2427.225367,-1.021152834,1.828645265
P01,34,26-35,>30,28-50,M,726.4055252,0.568886533,DRESS,413.0833505,2265.687875,-0.8058447002,1.498876008
P01,34,,>30,28-50,M,727.2273763,0.5695301681,LOT,573.758288,878.1557615,0.5802500975,-1.333688933
P01,34,,>30,28-50,M,728.9203751,0.5708560448,FLEECE,367.6987063,2129.827148,-1.197364499,1.221524349
